time,longitude,variable,mean_value
2025-09-16,-108.25,spco2,41.776939392089844
2025-09-16,-108.0,spco2,41.69939041137695
2025-09-16,-107.75,spco2,41.70406723022461
2025-09-16,-107.5,spco2,41.627193450927734
2025-09-16,-107.25,spco2,41.58684539794922
2025-09-16,-107.0,spco2,41.52583694458008
2025-09-16,-106.75,spco2,41.44074249267578
2025-09-16,-106.5,spco2,41.38404083251953
2025-09-16,-106.25,spco2,41.264705657958984
2025-09-16,-106.0,spco2,41.12184143066406
2025-09-16,-105.75,spco2,40.97806930541992
2025-09-16,-105.5,spco2,40.86601257324219
2025-09-16,-105.25,spco2,40.817623138427734
2025-09-16,-105.0,spco2,40.782066345214844
2025-09-16,-104.75,spco2,40.802886962890625
2025-09-16,-104.5,spco2,40.701332092285156
2025-09-16,-104.25,spco2,40.70132827758789
2025-09-16,-104.0,spco2,40.64743423461914
2025-09-16,-103.75,spco2,40.59735870361328
2025-09-16,-103.5,spco2,40.54927062988281
2025-09-16,-103.25,spco2,40.51611328125
2025-09-16,-103.0,spco2,40.488525390625
2025-09-16,-102.75,spco2,40.46066665649414
2025-09-16,-102.5,spco2,40.46490478515625
2025-09-16,-102.25,spco2,40.525630950927734
2025-09-16,-102.0,spco2,40.55045700073242
2025-09-16,-101.75,spco2,40.60226821899414
2025-09-16,-101.5,spco2,40.591251373291016
2025-09-16,-101.25,spco2,40.55266571044922
2025-09-16,-101.0,spco2,40.531681060791016
2025-09-16,-100.75,spco2,40.494266510009766
2025-09-16,-100.5,spco2,40.498355865478516
2025-09-16,-100.25,spco2,40.515193939208984
2025-09-16,-100.0,spco2,40.517494201660156
2025-09-16,-99.75,spco2,40.514434814453125
2025-09-16,-99.5,spco2,40.51334762573242
2025-09-16,-99.25,spco2,40.49147415161133
2025-09-16,-99.0,spco2,40.527225494384766
